,pays,groupe
0,Afghanistan,Africains
1,Afrique du Sud,Autres
2,Albanie,Européens
3,Algérie,Méditerranéens
4,Allemagne,Européens
5,Angola,Africains
6,Antigua-et-Barbuda,Autres
7,Arabie saoudite,Méditerranéens
8,Argentine,Européens
9,Arménie,Pays de l'est
10,Australie,Européens
11,Autriche,Européens
12,Azerbaïdjan,Méditerranéens
13,Bahamas,Autres
14,Bangladesh,Africains
15,Barbade,Pays de l'est
16,Belgique,Européens
17,Belize,Africains
18,Bolivie (État plurinational de),Africains
19,Bosnie-Herzégovine,Pays de l'est
20,Botswana,Africains
21,Brésil,Européens
22,Bulgarie,Pays de l'est
23,Burkina Faso,Africains
24,Bélarus,Pays de l'est
25,Bénin,Africains
26,Cabo Verde,Africains
27,Cambodge,Africains
28,Cameroun,Africains
29,Canada,Européens
30,Chili,Européens
31,Chine - RAS de Hong-Kong,Européens
32,Chine - RAS de Macao,Européens
33,"Chine, continentale",Pays de l'est
34,Chypre,Autres
35,Colombie,Autres
36,Congo,Africains
37,Costa Rica,Autres
38,Croatie,Pays de l'est
39,Cuba,Pays de l'est
40,Côte d'Ivoire,Africains
41,Danemark,Européens
42,Djibouti,Africains
43,Dominique,Pays de l'est
44,El Salvador,Africains
45,Espagne,Européens
46,Estonie,Européens
47,Eswatini,Africains
48,Fidji,Pays de l'est
49,Finlande,Européens
50,France,Européens
51,Fédération de Russie,Pays de l'est
52,Gabon,Méditerranéens
53,Gambie,Africains
54,Ghana,Africains
55,Grenade,Autres
56,Grèce,Européens
57,Guatemala,Africains
58,Guinée,Africains
59,Guinée-Bissau,Africains
60,Guyana,Autres
61,Géorgie,Pays de l'est
62,Haïti,Africains
63,Honduras,Africains
64,Hongrie,Pays de l'est
65,Inde,Africains
66,Indonésie,Africains
67,Iran (République islamique d'),Méditerranéens
68,Iraq,Africains
69,Irlande,Européens
70,Islande,Européens
71,Israël,Européens
72,Italie,Européens
73,Jamaïque,Autres
74,Japon,Pays de l'est
75,Jordanie,Méditerranéens
76,Kazakhstan,Européens
77,Kenya,Africains
78,Kirghizistan,Autres
79,Kiribati,Autres
80,Koweït,Méditerranéens
81,Lesotho,Africains
82,Lettonie,Pays de l'est
83,Liban,Méditerranéens
84,Libéria,Africains
85,Lituanie,Européens
86,Luxembourg,Européens
87,Macédoine du Nord,Pays de l'est
88,Madagascar,Africains
89,Malaisie,Autres
90,Malawi,Africains
91,Maldives,Méditerranéens
92,Mali,Méditerranéens
93,Malte,Européens
94,Maroc,Méditerranéens
95,Maurice,Pays de l'est
96,Mauritanie,Méditerranéens
97,Mexique,Européens
98,Mongolie,Autres
99,Monténégro,Européens
100,Mozambique,Africains
101,Myanmar,Autres
102,Namibie,Africains
103,Nicaragua,Africains
104,Niger,Africains
105,Nigéria,Africains
106,Norvège,Européens
107,Nouvelle-Calédonie,Autres
108,Nouvelle-Zélande,Européens
109,Népal,Africains
110,Oman,Méditerranéens
111,Ouganda,Africains
112,Ouzbékistan,Autres
113,Pakistan,Africains
114,Panama,Autres
115,Paraguay,Autres
116,Pays-Bas,Européens
117,Philippines,Africains
118,Pologne,Européens
119,Polynésie française,Pays de l'est
120,Portugal,Européens
121,Pérou,Autres
122,Roumanie,Européens
123,Royaume-Uni,Européens
124,Rwanda,Africains
125,République centrafricaine,Autres
126,République de Corée,Pays de l'est
127,République de Moldova,Autres
128,République dominicaine,Autres
129,République démocratique populaire lao,Méditerranéens
130,République populaire démocratique de Corée,Africains
131,République-Unie de Tanzanie,Africains
132,Saint-Kitts-et-Nevis,Autres
133,Saint-Vincent-et-les Grenadines,Pays de l'est
134,Sainte-Lucie,Autres
135,Samoa,Pays de l'est
136,Sao Tomé-et-Principe,Africains
137,Serbie,Pays de l'est
138,Sierra Leone,Africains
139,Slovaquie,Autres
140,Slovénie,Pays de l'est
141,Soudan,Africains
142,Sri Lanka,Africains
143,Suisse,Européens
144,Suriname,Autres
145,Suède,Européens
146,Sénégal,Africains
147,Tadjikistan,Africains
148,Tchad,Africains
149,Tchéquie (la),Pays de l'est
150,Thaïlande,Autres
151,Timor-Leste,Africains
152,Togo,Africains
153,Trinité-et-Tobago,Pays de l'est
154,Tunisie,Méditerranéens
155,Turkménistan,Autres
156,Turquie,Méditerranéens
157,Ukraine,Pays de l'est
158,Uruguay,Pays de l'est
159,Vanuatu,Africains
160,Venezuela (République bolivarienne du),Autres
161,Viet Nam,Autres
162,Yémen,Africains
163,Zambie,Africains
164,Zimbabwe,Africains
165,Égypte,Méditerranéens
166,Émirats arabes unis,Pays de l'est
167,Équateur,Africains
168,États-Unis d'Amérique,Européens
169,Éthiopie,Africains
170,Îles Salomon,Africains
